task_id,team,role,user_id,task_name,description,priority,expected_duration,created_at,completed_at,completion_time,duration_error
2576,Marketing,SEO Specialist,94,Landing page copy,Landing page copy for marketing team by seo specialist.,Low,4.0,2024-07-01 11:18:00,2024-07-01 13:32:41.722625,2.24,-1.7599999999999998
7930,Engineering,QA Engineer,182,Write unit tests,Write unit tests for engineering team by qa engineer.,Low,8.0,2024-07-01 11:22:00,2024-07-02 15:04:21.328534,27.71,19.71
507,Marketing,SEO Specialist,118,Ad campaign optimization,Ad campaign optimization for marketing team by seo specialist.,Medium,6.0,2024-07-01 11:24:00,2024-07-02 09:53:53.795226,22.5,16.5
3291,Engineering,Backend Engineer,155,ETL batch debugging,ETL batch debugging for engineering team by backend engineer.,High,7.0,2024-07-01 11:29:00,2024-07-04 15:42:47.751055,76.23,69.23
9195,Operations,Operations Associate,126,Inventory check,Inventory check for operations team by operations associate.,Low,1.0,2024-07-01 11:37:00,2024-07-01 12:42:37.491803,1.09,0.09000000000000008
9073,Finance,Accountant,110,Create budget forecast,Create budget forecast for finance team by accountant.,Low,7.0,2024-07-01 11:43:00,2024-07-02 12:45:33.159955,25.04,18.04
7184,Finance,Accountant,72,Month-end close preparation,Month-end close preparation for finance team by accountant.,Medium,4.0,2024-07-01 11:43:00,2024-07-01 16:36:56.582991,4.9,0.9000000000000004
9956,Finance,Financial Analyst,134,Reconcile transactions,Reconcile transactions for finance team by financial analyst.,Low,4.0,2024-07-01 11:44:00,2024-07-03 13:01:06.298189,49.29,45.29
435,Operations,Logistics Coordinator,68,Warehouse audit,Warehouse audit for operations team by logistics coordinator.,Low,5.0,2024-07-01 11:46:00,2024-07-02 10:28:24.996108,22.71,17.71
8884,Engineering,Backend Engineer,83,Integration testing,Integration testing for engineering team by backend engineer.,Low,5.0,2024-07-01 11:50:00,2024-07-02 12:45:41.575179,24.93,19.93
6409,Marketing,Content Writer,69,Keyword research,Keyword research for marketing team by content writer.,Low,3.0,2024-07-01 11:54:00,2024-07-01 14:21:57.596423,2.47,-0.5299999999999998
4249,Engineering,QA Engineer,4,Write unit tests,Write unit tests for engineering team by qa engineer.,Low,5.0,2024-07-01 11:56:00,2024-07-02 15:27:48.878348,27.53,22.53
356,Engineering,Backend Engineer,53,ETL batch debugging,ETL batch debugging for engineering team by backend engineer.,High,11.0,2024-07-01 11:58:00,2024-07-02 15:34:12.855822,27.6,16.6
4837,Engineering,Data Engineer,126,Write unit tests,Write unit tests for engineering team by data engineer.,Low,7.0,2024-07-01 12:04:00,2024-07-02 15:25:16.618277,27.35,20.35
7045,Engineering,Data Engineer,105,Write unit tests,Write unit tests for engineering team by data engineer.,Low,4.0,2024-07-01 12:05:00,2024-07-01 15:21:51.730363,3.28,-0.7200000000000002
5729,Operations,Operations Associate,56,Shipment scheduling,Shipment scheduling for operations team by operations associate.,Low,1.0,2024-07-01 12:15:00,2024-07-01 12:53:52.263700,0.65,-0.35
890,Engineering,Backend Engineer,118,ETL batch debugging,ETL batch debugging for engineering team by backend engineer.,High,9.0,2024-07-01 12:15:00,2024-07-03 10:57:22.890476,46.71,37.71
2548,Engineering,QA Engineer,79,Refactor UI component,Refactor UI component for engineering team by qa engineer.,Low,7.0,2024-07-01 12:18:00,2024-07-02 13:38:13.683901,25.34,18.34
9438,Customer Support,Technical Support,29,Resolve technical issue,Resolve technical issue for customer support team by technical support.,High,2.0,2024-07-01 12:21:00,2024-07-01 15:03:56.263885,2.72,0.7200000000000002
8468,Operations,Logistics Coordinator,128,Process documentation,Process documentation for operations team by logistics coordinator.,Low,2.0,2024-07-01 12:28:00,2024-07-01 14:47:59.678376,2.33,0.33000000000000007
2650,Engineering,Backend Engineer,32,Write frontend feature,Write frontend feature for engineering team by backend engineer.,Low,3.0,2024-07-01 12:30:00,2024-07-01 14:27:30.343610,1.96,-1.04
6562,Engineering,QA Engineer,126,Performance profiling,Performance profiling for engineering team by qa engineer.,Low,12.0,2024-07-01 12:31:00,2024-07-03 12:34:03.114245,48.05,36.05
2974,Customer Support,Support Agent,33,Live chat assistance,Live chat assistance for customer support team by support agent.,Low,3.0,2024-07-01 12:42:00,2024-07-02 10:16:10.543894,21.57,18.57
6195,Engineering,Backend Engineer,112,Refactor UI component,Refactor UI component for engineering team by backend engineer.,Low,4.0,2024-07-01 12:42:00,2024-07-01 14:43:07.378505,2.02,-1.98
3023,Finance,Financial Analyst,34,Create budget forecast,Create budget forecast for finance team by financial analyst.,Low,6.0,2024-07-01 12:44:00,2024-07-02 14:51:54.546066,26.13,20.13
7709,Engineering,Data Engineer,141,Refactor UI component,Refactor UI component for engineering team by data engineer.,Low,12.0,2024-07-01 12:46:00,2024-07-03 13:47:51.349052,49.03,37.03
8051,Engineering,Backend Engineer,108,Write frontend feature,Write frontend feature for engineering team by backend engineer.,Low,6.0,2024-07-01 12:50:00,2024-07-02 12:48:47.359996,23.98,17.98
5443,Operations,Logistics Coordinator,65,Warehouse audit,Warehouse audit for operations team by logistics coordinator.,Low,2.0,2024-07-01 12:52:00,2024-07-01 14:45:23.269951,1.89,-0.1100000000000001
903,Engineering,Backend Engineer,52,Data pipeline monitoring,Data pipeline monitoring for engineering team by backend engineer.,Low,11.0,2024-07-01 12:52:00,2024-07-03 12:07:58.857028,47.27,36.27
5813,Engineering,QA Engineer,57,Performance profiling,Performance profiling for engineering team by qa engineer.,Low,5.0,2024-07-01 12:59:00,2024-07-02 11:22:25.046795,22.39,17.39
4732,Customer Support,Support Agent,183,Escalate request,Escalate request for customer support team by support agent.,Low,4.0,2024-07-01 13:03:00,2024-07-02 10:02:14.182762,20.99,16.99
4466,Operations,Logistics Coordinator,105,Warehouse audit,Warehouse audit for operations team by logistics coordinator.,Low,5.0,2024-07-01 13:06:00,2024-07-02 12:15:28.686350,23.16,18.16
2694,Engineering,Frontend Engineer,131,Data pipeline monitoring,Data pipeline monitoring for engineering team by frontend engineer.,Low,4.0,2024-07-01 13:27:00,2024-07-02 09:17:40.752349,19.84,15.84
5643,Finance,Accountant,10,Month-end close preparation,Month-end close preparation for finance team by accountant.,Medium,4.0,2024-07-01 13:29:00,2024-07-02 09:52:23.516396,20.39,16.39
9662,Engineering,Data Engineer,91,Performance profiling,Performance profiling for engineering team by data engineer.,Low,10.0,2024-07-01 13:33:00,2024-07-02 15:30:28.606855,25.96,15.96
9140,Finance,Financial Analyst,117,Reconcile transactions,Reconcile transactions for finance team by financial analyst.,Low,6.0,2024-07-01 13:33:00,2024-07-02 13:38:41.767133,24.09,18.09
1882,Engineering,Data Engineer,180,Integration testing,Integration testing for engineering team by data engineer.,Low,6.0,2024-07-01 13:37:00,2024-07-02 15:56:41.882238,26.33,20.33
6228,Engineering,Data Engineer,31,Implement new endpoint,Implement new endpoint for engineering team by data engineer.,Low,4.0,2024-07-01 13:37:00,2024-07-02 14:20:52.843789,24.73,20.73
1328,Finance,Financial Analyst,120,Reconcile transactions,Reconcile transactions for finance team by financial analyst.,Low,3.0,2024-07-01 13:45:00,2024-07-02 11:16:22.855435,21.52,18.52
6223,Engineering,QA Engineer,140,Fix backend API bug,Fix backend API bug for engineering team by qa engineer.,High,4.0,2024-07-01 14:02:00,2024-07-02 09:56:00.224556,19.9,15.899999999999999
3012,Engineering,Data Engineer,192,Data pipeline monitoring,Data pipeline monitoring for engineering team by data engineer.,Low,11.0,2024-07-01 14:03:00,2024-07-03 13:21:00.822955,47.3,36.3
7837,Engineering,Backend Engineer,171,Fix backend API bug,Fix backend API bug for engineering team by backend engineer.,High,6.0,2024-07-01 14:04:00,2024-07-02 13:25:52.291727,23.36,17.36
5541,Operations,Operations Associate,102,Resource planning,Resource planning for operations team by operations associate.,Medium,3.0,2024-07-01 14:15:00,2024-07-02 09:48:19.111825,19.56,16.56
5530,Marketing,Social Media Manager,184,Ad campaign optimization,Ad campaign optimization for marketing team by social media manager.,Medium,10.0,2024-07-01 14:16:00,2024-07-03 10:50:23.913752,44.57,34.57
6326,Engineering,Frontend Engineer,51,Performance profiling,Performance profiling for engineering team by frontend engineer.,Low,3.0,2024-07-01 14:19:00,2024-07-02 10:19:13.420349,20.0,17.0
6446,Engineering,QA Engineer,146,Implement new endpoint,Implement new endpoint for engineering team by qa engineer.,Low,6.0,2024-07-01 14:43:00,2024-07-02 16:09:45.509498,25.45,19.45
8836,Operations,Logistics Coordinator,169,Vendor follow-up,Vendor follow-up for operations team by logistics coordinator.,Low,8.0,2024-07-01 14:43:00,2024-07-03 10:15:57.947649,43.55,35.55
9018,Engineering,Data Engineer,108,Write unit tests,Write unit tests for engineering team by data engineer.,Low,5.0,2024-07-01 14:44:00,2024-07-03 09:30:34.365013,42.78,37.78
4811,Marketing,Social Media Manager,11,Write blog post,Write blog post for marketing team by social media manager.,Low,3.0,2024-07-01 14:47:00,2024-07-02 13:37:51.195514,22.85,19.85
8685,Finance,Accountant,134,Invoice processing,Invoice processing for finance team by accountant.,Low,7.0,2024-07-01 14:50:00,2024-07-02 16:49:21.188540,25.99,18.99
1770,Marketing,Social Media Manager,49,Write blog post,Write blog post for marketing team by social media manager.,Low,6.0,2024-07-01 15:02:00,2024-07-02 14:32:09.425249,23.5,17.5
6441,Marketing,Content Writer,110,Landing page copy,Landing page copy for marketing team by content writer.,Low,2.0,2024-07-01 15:12:00,2024-07-02 11:00:53.050929,19.81,17.81
3107,Engineering,Frontend Engineer,152,Write unit tests,Write unit tests for engineering team by frontend engineer.,Low,2.0,2024-07-01 15:14:00,2024-07-01 15:44:00.000000,0.5,-1.5
6183,Engineering,Backend Engineer,95,Fix backend API bug,Fix backend API bug for engineering team by backend engineer.,High,10.0,2024-07-01 15:17:00,2024-07-03 09:57:28.143182,42.67,32.67
8068,Engineering,QA Engineer,61,Database schema update,Database schema update for engineering team by qa engineer.,Medium,8.0,2024-07-01 15:23:00,2024-07-03 12:54:28.104366,45.52,37.52
3562,Engineering,Data Engineer,169,ETL batch debugging,ETL batch debugging for engineering team by data engineer.,High,12.0,2024-07-01 15:29:00,2024-07-03 14:23:17.328913,46.9,34.9
2140,Finance,Accountant,130,Variance analysis,Variance analysis for finance team by accountant.,Medium,2.0,2024-07-01 15:30:00,2024-07-02 10:43:11.925571,19.22,17.22
7425,Engineering,QA Engineer,24,Performance profiling,Performance profiling for engineering team by qa engineer.,Low,10.0,2024-07-01 15:31:00,2024-07-03 11:14:06.696656,43.72,33.72
1250,Engineering,QA Engineer,182,Performance profiling,Performance profiling for engineering team by qa engineer.,Low,7.0,2024-07-01 15:41:00,2024-07-03 10:02:36.050325,42.36,35.36
7191,Customer Support,Technical Support,155,Customer follow-up,Customer follow-up for customer support team by technical support.,Low,2.0,2024-07-01 15:45:00,2024-07-02 12:43:32.286698,20.98,18.98
93,Operations,Operations Associate,92,Resource planning,Resource planning for operations team by operations associate.,Medium,4.0,2024-07-01 15:50:00,2024-07-03 14:38:24.195779,46.81,42.81
5074,Engineering,Backend Engineer,156,Write unit tests,Write unit tests for engineering team by backend engineer.,Low,4.0,2024-07-01 15:55:00,2024-07-02 09:34:39.091838,17.66,13.66
2342,Marketing,Content Writer,107,Ad campaign optimization,Ad campaign optimization for marketing team by content writer.,Medium,2.0,2024-07-01 15:59:00,2024-07-01 16:29:00.000000,0.5,-1.5
7156,Engineering,Frontend Engineer,95,Implement new endpoint,Implement new endpoint for engineering team by frontend engineer.,Low,5.0,2024-07-01 16:02:00,2024-07-03 09:53:03.672196,41.85,36.85
8244,Engineering,QA Engineer,2,Write frontend feature,Write frontend feature for engineering team by qa engineer.,Low,12.0,2024-07-01 16:02:00,2024-07-03 16:16:33.081582,48.24,36.24
9652,Operations,Operations Associate,129,Warehouse audit,Warehouse audit for operations team by operations associate.,Low,7.0,2024-07-01 16:04:00,2024-07-02 16:44:51.421184,24.68,17.68
8878,Operations,Logistics Coordinator,93,Vendor follow-up,Vendor follow-up for operations team by logistics coordinator.,Low,7.0,2024-07-01 16:06:00,2024-07-03 09:33:48.385788,41.46,34.46
8726,Customer Support,Support Agent,60,Live chat assistance,Live chat assistance for customer support team by support agent.,Low,3.0,2024-07-01 16:14:00,2024-07-02 12:17:09.042604,20.05,17.05
3710,Marketing,SEO Specialist,115,Write blog post,Write blog post for marketing team by seo specialist.,Low,2.0,2024-07-01 16:32:00,2024-07-02 13:20:23.979683,20.81,18.81
9689,Operations,Operations Associate,166,Process documentation,Process documentation for operations team by operations associate.,Low,2.0,2024-07-01 16:48:00,2024-07-02 12:18:18.380312,19.51,17.51
6431,Engineering,Data Engineer,189,Performance profiling,Performance profiling for engineering team by data engineer.,Low,11.0,2024-07-01 16:52:00,2024-07-03 15:44:26.704737,46.87,35.87
2962,Customer Support,Support Agent,159,Customer follow-up,Customer follow-up for customer support team by support agent.,Low,1.0,2024-07-02 09:09:00,2024-07-02 10:42:21.244192,1.56,0.56
8240,Customer Support,Technical Support,164,Customer follow-up,Customer follow-up for customer support team by technical support.,Low,3.0,2024-07-02 09:09:00,2024-07-02 14:15:57.251831,5.12,2.12
1674,Engineering,Data Engineer,176,Write unit tests,Write unit tests for engineering team by data engineer.,Low,4.0,2024-07-02 09:13:00,2024-07-03 09:07:12.334919,23.9,19.9
8701,Engineering,Frontend Engineer,53,Write unit tests,Write unit tests for engineering team by frontend engineer.,Low,8.0,2024-07-02 09:16:00,2024-07-03 09:59:55.934708,24.73,16.73
2625,Engineering,Frontend Engineer,130,Write frontend feature,Write frontend feature for engineering team by frontend engineer.,Low,11.0,2024-07-02 09:39:00,2024-07-04 09:50:07.653867,48.19,37.19
9546,Finance,Accountant,186,Reconcile transactions,Reconcile transactions for finance team by accountant.,Low,6.0,2024-07-02 09:42:00,2024-07-02 16:41:51.677643,7.0,1.0
388,Marketing,Content Writer,176,Schedule social posts,Schedule social posts for marketing team by content writer.,Low,3.0,2024-07-02 10:07:00,2024-07-02 16:09:33.899903,6.04,3.04
912,Engineering,Backend Engineer,114,Write frontend feature,Write frontend feature for engineering team by backend engineer.,Low,9.0,2024-07-02 10:07:00,2024-07-04 09:27:50.990337,47.35,38.35
6484,Engineering,QA Engineer,148,Integration testing,Integration testing for engineering team by qa engineer.,Low,11.0,2024-07-02 10:09:00,2024-07-04 12:06:48.796554,49.96,38.96
1039,Engineering,Backend Engineer,88,Write frontend feature,Write frontend feature for engineering team by backend engineer.,Low,5.0,2024-07-02 10:14:00,2024-07-03 11:31:28.449368,25.29,20.29
5859,Customer Support,Support Agent,10,Customer follow-up,Customer follow-up for customer support team by support agent.,Low,2.0,2024-07-02 10:16:00,2024-07-02 13:11:52.828539,2.93,0.9300000000000002
3593,Marketing,Content Writer,176,Prepare campaign assets,Prepare campaign assets for marketing team by content writer.,Medium,10.0,2024-07-02 10:25:00,2024-07-03 16:52:36.647322,30.46,20.46
1410,Operations,Operations Associate,68,Shipment scheduling,Shipment scheduling for operations team by operations associate.,Low,2.0,2024-07-02 10:32:00,2024-07-02 14:16:58.810157,3.75,1.75
7237,Engineering,Data Engineer,2,Implement new endpoint,Implement new endpoint for engineering team by data engineer.,Low,10.0,2024-07-02 10:35:00,2024-07-04 15:04:32.023589,52.49,42.49
3920,Operations,Operations Associate,150,Shipment scheduling,Shipment scheduling for operations team by operations associate.,Low,7.0,2024-07-02 10:38:00,2024-07-03 11:56:59.476717,25.32,18.32
2609,Operations,Logistics Coordinator,31,Process documentation,Process documentation for operations team by logistics coordinator.,Low,8.0,2024-07-02 10:44:00,2024-07-03 14:39:49.260412,27.93,19.93
798,Customer Support,Support Agent,79,Escalate request,Escalate request for customer support team by support agent.,Low,1.0,2024-07-02 10:46:00,2024-07-02 14:18:24.492856,3.54,2.54
2716,Engineering,Data Engineer,108,Performance profiling,Performance profiling for engineering team by data engineer.,Low,7.0,2024-07-02 10:48:00,2024-07-03 13:16:22.043538,26.47,19.47
7320,Finance,Accountant,47,Month-end close preparation,Month-end close preparation for finance team by accountant.,Medium,6.0,2024-07-02 10:50:00,2024-07-03 12:11:27.956736,25.36,19.36
9544,Operations,Logistics Coordinator,71,Resource planning,Resource planning for operations team by logistics coordinator.,Medium,6.0,2024-07-02 10:54:00,2024-07-03 09:01:23.206124,22.12,16.12
187,Engineering,QA Engineer,28,Write unit tests,Write unit tests for engineering team by qa engineer.,Low,5.0,2024-07-02 10:59:00,2024-07-03 09:15:17.365944,22.27,17.27
780,Marketing,SEO Specialist,149,Ad campaign optimization,Ad campaign optimization for marketing team by seo specialist.,Medium,3.0,2024-07-02 11:01:00,2024-07-02 15:23:01.201469,4.37,1.37
4751,Engineering,Frontend Engineer,115,Data pipeline monitoring,Data pipeline monitoring for engineering team by frontend engineer.,Low,9.0,2024-07-02 11:05:00,2024-07-03 11:23:38.259011,24.31,15.309999999999999
6702,Engineering,Backend Engineer,186,Write unit tests,Write unit tests for engineering team by backend engineer.,Low,4.0,2024-07-02 11:18:00,2024-07-03 09:25:07.052296,22.12,18.12
6099,Engineering,Data Engineer,143,Data pipeline monitoring,Data pipeline monitoring for engineering team by data engineer.,Low,5.0,2024-07-02 11:24:00,2024-07-03 10:58:36.253254,23.58,18.58
4462,Engineering,Frontend Engineer,56,Write unit tests,Write unit tests for engineering team by frontend engineer.,Low,10.0,2024-07-02 11:31:00,2024-07-04 11:10:05.119106,47.65,37.65
8063,Engineering,Data Engineer,159,Implement new endpoint,Implement new endpoint for engineering team by data engineer.,Low,5.0,2024-07-02 11:44:00,2024-07-03 09:08:19.480789,21.41,16.41
7797,Engineering,QA Engineer,139,Fix backend API bug,Fix backend API bug for engineering team by qa engineer.,High,10.0,2024-07-02 11:50:00,2024-07-04 09:34:31.334583,45.74,35.74
5558,Finance,Accountant,34,Prepare monthly report,Prepare monthly report for finance team by accountant.,Medium,5.0,2024-07-02 12:13:00,2024-07-03 11:30:16.745848,23.29,18.29
5169,Finance,Accountant,85,Prepare monthly report,Prepare monthly report for finance team by accountant.,Medium,4.0,2024-07-02 12:15:00,2024-07-03 11:04:54.467917,22.83,18.83
9096,Marketing,Social Media Manager,191,Landing page copy,Landing page copy for marketing team by social media manager.,Low,7.0,2024-07-02 12:20:00,2024-07-03 13:56:01.160926,25.6,18.6
7308,Engineering,QA Engineer,189,Fix backend API bug,Fix backend API bug for engineering team by qa engineer.,High,4.0,2024-07-02 12:25:00,2024-07-03 11:59:26.922182,23.57,19.57
9743,Engineering,Backend Engineer,10,ETL batch debugging,ETL batch debugging for engineering team by backend engineer.,High,10.0,2024-07-02 12:27:00,2024-07-03 13:21:28.349292,24.91,14.91
2546,Engineering,Data Engineer,139,Performance profiling,Performance profiling for engineering team by data engineer.,Low,5.0,2024-07-02 12:31:00,2024-07-03 09:44:59.491590,21.23,16.23
7923,Engineering,Data Engineer,54,Database schema update,Database schema update for engineering team by data engineer.,Medium,2.0,2024-07-02 12:31:00,2024-07-02 13:01:00.000000,0.5,-1.5
6808,Marketing,SEO Specialist,142,Keyword research,Keyword research for marketing team by seo specialist.,Low,10.0,2024-07-02 12:38:00,2024-07-04 09:34:27.651763,44.94,34.94
390,Operations,Logistics Coordinator,77,Inventory check,Inventory check for operations team by logistics coordinator.,Low,2.0,2024-07-02 12:48:00,2024-07-02 14:04:38.737339,1.28,-0.72
8651,Marketing,Social Media Manager,196,Competitor research,Competitor research for marketing team by social media manager.,Low,6.0,2024-07-02 12:51:00,2024-07-03 10:40:13.662672,21.82,15.82
6540,Marketing,Content Writer,184,Email campaign setup,Email campaign setup for marketing team by content writer.,Medium,6.0,2024-07-02 12:54:00,2024-07-03 15:28:31.445924,26.58,20.58
4910,Finance,Accountant,96,Reconcile transactions,Reconcile transactions for finance team by accountant.,Low,6.0,2024-07-02 12:58:00,2024-07-03 11:41:49.256199,22.73,16.73
6649,Operations,Logistics Coordinator,179,Resource planning,Resource planning for operations team by logistics coordinator.,Medium,1.0,2024-07-02 13:35:00,2024-07-02 14:07:00.379410,0.53,-0.47
2049,Finance,Financial Analyst,178,Prepare monthly report,Prepare monthly report for finance team by financial analyst.,Medium,8.0,2024-07-02 13:54:00,2024-07-04 09:22:57.477654,43.48,35.48
6239,Finance,Financial Analyst,43,Month-end close preparation,Month-end close preparation for finance team by financial analyst.,Medium,2.0,2024-07-02 13:56:00,2024-07-02 16:39:30.114024,2.73,0.73
8737,Marketing,Social Media Manager,122,Schedule social posts,Schedule social posts for marketing team by social media manager.,Low,3.0,2024-07-02 13:58:00,2024-07-03 10:26:46.187962,20.48,17.48
9693,Engineering,Frontend Engineer,166,Data pipeline monitoring,Data pipeline monitoring for engineering team by frontend engineer.,Low,5.0,2024-07-02 14:03:00,2024-07-03 13:25:18.313349,23.37,18.37
4590,Engineering,Backend Engineer,118,Data pipeline monitoring,Data pipeline monitoring for engineering team by backend engineer.,Low,10.0,2024-07-02 14:05:00,2024-07-04 12:49:35.930721,46.74,36.74
9250,Finance,Financial Analyst,4,Invoice processing,Invoice processing for finance team by financial analyst.,Low,2.0,2024-07-02 14:12:00,2024-07-03 10:07:19.376887,19.92,17.92
1297,Marketing,Social Media Manager,29,Write blog post,Write blog post for marketing team by social media manager.,Low,5.0,2024-07-02 14:22:00,2024-07-03 13:27:04.323234,23.08,18.08
5244,Engineering,Backend Engineer,164,Refactor UI component,Refactor UI component for engineering team by backend engineer.,Low,8.0,2024-07-02 14:26:00,2024-07-04 11:34:35.277190,45.14,37.14
7138,Customer Support,Technical Support,77,Create KB article,Create KB article for customer support team by technical support.,Low,4.0,2024-07-02 14:30:00,2024-07-03 12:49:23.634215,22.32,18.32
5578,Engineering,QA Engineer,107,Refactor UI component,Refactor UI component for engineering team by qa engineer.,Low,4.0,2024-07-02 14:30:00,2024-07-03 09:27:16.783693,18.95,14.95
5538,Finance,Financial Analyst,82,Prepare monthly report,Prepare monthly report for finance team by financial analyst.,Medium,3.0,2024-07-02 14:35:00,2024-07-03 09:23:48.679282,18.81,15.809999999999999
1683,Operations,Logistics Coordinator,87,Resource planning,Resource planning for operations team by logistics coordinator.,Medium,3.0,2024-07-02 14:58:00,2024-07-03 11:44:40.153582,20.78,17.78
6695,Engineering,QA Engineer,8,Write frontend feature,Write frontend feature for engineering team by qa engineer.,Low,4.0,2024-07-02 15:00:00,2024-07-03 15:20:25.717953,24.34,20.34
6149,Engineering,Data Engineer,31,Performance profiling,Performance profiling for engineering team by data engineer.,Low,12.0,2024-07-02 15:07:00,2024-07-05 11:08:53.760829,68.03,56.03
5732,Engineering,Backend Engineer,8,Write frontend feature,Write frontend feature for engineering team by backend engineer.,Low,8.0,2024-07-02 15:16:00,2024-07-03 16:26:44.399803,25.18,17.18
7911,Operations,Operations Associate,33,Shipment scheduling,Shipment scheduling for operations team by operations associate.,Low,6.0,2024-07-02 15:33:00,2024-07-03 14:07:53.894512,22.58,16.58
9514,Engineering,Backend Engineer,179,Data pipeline monitoring,Data pipeline monitoring for engineering team by backend engineer.,Low,2.0,2024-07-02 15:36:00,2024-07-03 10:08:35.889983,18.54,16.54
6849,Operations,Logistics Coordinator,53,Resource planning,Resource planning for operations team by logistics coordinator.,Medium,5.0,2024-07-02 15:39:00,2024-07-03 14:35:27.961193,22.94,17.94
8911,Engineering,Backend Engineer,83,Write unit tests,Write unit tests for engineering team by backend engineer.,Low,3.0,2024-07-02 15:42:00,2024-07-03 10:27:39.343850,18.76,15.760000000000002
5762,Operations,Operations Associate,194,Inventory check,Inventory check for operations team by operations associate.,Low,5.0,2024-07-02 15:45:00,2024-07-03 14:24:43.760905,22.66,17.66
4612,Engineering,Data Engineer,120,Integration testing,Integration testing for engineering team by data engineer.,Low,6.0,2024-07-02 15:48:00,2024-07-08 14:02:14.945754,142.24,136.24
9993,Engineering,QA Engineer,102,Database schema update,Database schema update for engineering team by qa engineer.,Medium,9.0,2024-07-02 15:52:00,2024-07-04 11:50:06.915830,43.97,34.97
